Second,Jitter,Loss,Bitrate
0.00,0.295,37.52%,49.8
10.00,0.326,34.42%,52.5
20.00,0.305,34.40%,52.5
30.00,0.321,34.40%,52.5
40.00,0.329,34.40%,52.5
50.00,0.394,34.44%,52.4
60.00,0.307,34.40%,52.5
70.00,0.366,34.40%,52.5
80.00,0.322,34.44%,52.4
90.00,0.334,34.40%,52.5
100.00,0.364,34.41%,52.5
110.00,0.352,34.40%,52.5
120.00,0.312,34.44%,52.4
130.00,0.337,34.40%,52.5
140.00,0.350,34.40%,52.5
150.00,0.317,34.42%,52.5
160.00,0.341,34.40%,52.5
170.00,0.258,34.40%,52.5
180.00,0.222,34.40%,52.5
190.00,0.344,34.40%,52.5
200.00,0.336,34.40%,52.5
210.00,0.316,34.40%,52.5
220.00,0.297,34.41%,52.5
230.00,0.292,34.42%,52.5
240.00,0.238,34.40%,52.5
250.00,0.287,34.40%,52.5
260.00,0.371,34.42%,52.5
270.00,0.267,34.40%,52.5
280.00,0.325,34.40%,52.5
290.00,0.303,34.40%,52.5
300.00,0.311,34.65%,52.1
