Second,Jitter,Loss,Bitrate
0.00,0.204,0.00%,57.2
1.00,0.134,0.00%,60.0
2.00,0.140,0.00%,60.0
3.00,0.160,0.00%,60.0
4.00,0.162,0.00%,60.0
5.00,0.149,0.00%,60.0
6.00,0.132,0.00%,60.0
7.00,0.144,0.00%,60.0
8.00,0.204,0.00%,60.0
9.00,0.120,0.00%,60.0
10.00,0.143,0.00%,60.0
11.00,0.109,0.00%,60.0
12.00,0.223,0.00%,60.0
13.00,0.149,0.00%,60.0
14.00,0.199,0.00%,60.0
15.00,0.174,0.00%,60.0
16.00,0.161,0.00%,60.0
17.00,0.185,0.00%,60.0
18.00,0.138,0.00%,60.0
19.00,0.129,0.00%,60.0
20.00,0.191,0.00%,60.0
21.00,0.171,0.00%,60.0
22.00,0.203,0.00%,60.0
23.00,0.196,0.00%,60.0
24.00,0.159,0.00%,60.0
25.00,0.163,0.00%,60.0
26.00,0.195,0.00%,60.0
27.00,0.183,0.00%,60.0
28.00,0.164,0.00%,60.0
29.00,0.167,0.00%,60.0
30.00,0.156,0.00%,60.0
31.00,0.177,0.00%,60.0
32.00,0.191,0.00%,60.0
33.00,0.202,0.00%,60.0
34.00,0.142,0.00%,60.0
35.00,0.138,0.00%,60.0
36.00,0.131,0.00%,60.0
37.00,0.178,0.00%,60.0
38.00,0.134,0.00%,60.0
39.00,0.139,0.00%,60.0
40.00,0.136,0.00%,60.0
41.00,0.172,0.00%,60.0
42.00,0.172,0.00%,60.0
43.00,0.149,0.00%,60.0
44.00,0.188,0.00%,60.0
45.00,0.183,0.00%,60.0
46.00,0.090,0.00%,60.0
47.00,0.200,0.00%,60.0
48.00,0.176,0.00%,60.0
49.00,0.121,0.00%,60.0
50.00,0.139,0.00%,60.0
51.00,0.245,0.00%,60.0
52.00,0.185,0.00%,60.0
53.00,0.177,0.00%,60.0
54.00,0.142,0.00%,60.0
55.00,0.197,0.00%,60.0
56.00,0.189,0.00%,60.0
57.00,0.123,0.00%,60.0
58.00,0.125,0.00%,60.0
59.00,0.139,0.00%,60.0
60.00,0.149,0.00%,60.0
61.00,0.170,0.00%,60.0
62.00,0.144,0.00%,60.0
63.00,0.152,0.00%,60.0
64.00,0.121,0.00%,60.0
65.00,0.237,0.00%,60.0
66.00,0.092,0.00%,60.0
67.00,0.215,0.00%,60.0
68.00,0.174,0.00%,60.0
69.00,0.182,0.00%,60.0
70.00,0.107,0.00%,60.0
71.00,0.133,0.00%,60.0
72.00,0.193,0.00%,60.0
73.00,0.149,0.00%,60.0
74.00,0.168,0.00%,60.0
75.00,0.135,0.00%,60.0
76.00,0.133,0.00%,60.0
77.00,0.112,0.00%,60.0
78.00,0.149,0.00%,60.0
79.00,0.148,0.00%,60.0
80.00,0.158,0.00%,60.6
