Second,Jitter,Loss,Bitrate
0.00,0.226,24.93%,48.9
1.00,0.279,25.03%,53.7
2.00,0.396,25.04%,52.5
3.00,0.361,25.04%,52.5
4.00,0.275,25.00%,52.5
5.00,0.333,25.04%,52.5
6.00,0.351,25.02%,52.5
7.00,0.303,25.04%,52.5
8.00,0.322,25.03%,52.5
9.00,0.316,25.02%,52.5
10.00,0.274,25.04%,52.5
11.00,0.294,25.04%,52.5
12.00,0.340,25.12%,52.4
13.00,0.347,25.03%,52.5
14.00,0.350,25.05%,52.5
15.00,0.328,25.00%,52.5
16.00,0.342,25.06%,52.5
17.00,0.359,25.02%,52.5
18.00,0.320,25.04%,52.4
19.00,0.239,25.02%,52.6
20.00,0.304,25.03%,52.5
21.00,0.301,25.05%,52.5
22.00,0.386,25.04%,52.5
23.00,0.324,25.00%,52.5
24.00,0.253,25.04%,52.5
25.00,0.281,25.03%,52.5
26.00,0.339,25.02%,52.5
27.00,0.301,25.03%,52.5
28.00,0.296,25.03%,52.5
29.00,0.330,25.04%,52.5
30.00,0.292,25.02%,52.5
31.00,0.291,25.03%,52.5
32.00,0.357,25.05%,52.5
33.00,0.330,25.00%,52.5
34.00,0.276,25.04%,52.5
35.00,0.276,25.03%,52.5
36.00,0.322,25.04%,52.5
37.00,0.339,25.03%,52.5
38.00,0.376,25.04%,52.5
39.00,0.296,25.02%,52.5
40.00,0.314,25.03%,52.5
41.00,0.363,25.05%,52.5
42.00,0.348,25.02%,52.4
43.00,0.260,25.03%,52.5
44.00,0.309,25.04%,52.5
45.00,0.362,25.03%,52.5
46.00,0.302,25.02%,52.5
47.00,0.302,25.03%,52.5
48.00,0.276,25.04%,52.5
49.00,0.289,25.02%,52.5
50.00,0.372,25.02%,52.5
51.00,0.264,25.03%,52.5
52.00,0.369,25.04%,52.5
53.00,0.485,25.05%,45.0
