-----------------------------------------------------------
Server listening on 5002
-----------------------------------------------------------
Accepted connection from 10.0.1.1, port 44492
[  6] local 10.0.1.7 port 5002 connected to 10.0.1.1 port 10002
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-1.00   sec  3.42 MBytes  28.7 Mbits/sec  0.275 ms  0/2478 (0%)  
[  6]   1.00-2.00   sec  3.58 MBytes  30.0 Mbits/sec  0.289 ms  0/2589 (0%)  
[  6]   2.00-3.00   sec  3.58 MBytes  30.0 Mbits/sec  0.237 ms  0/2592 (0%)  
[  6]   3.00-4.00   sec  3.58 MBytes  30.0 Mbits/sec  0.218 ms  0/2590 (0%)  
[  6]   4.00-5.00   sec  3.57 MBytes  30.0 Mbits/sec  0.281 ms  0/2588 (0%)  
[  6]   5.00-6.00   sec  3.58 MBytes  30.0 Mbits/sec  0.292 ms  0/2590 (0%)  
[  6]   6.00-7.00   sec  3.57 MBytes  30.0 Mbits/sec  0.307 ms  0/2588 (0%)  
[  6]   7.00-8.00   sec  3.58 MBytes  30.0 Mbits/sec  0.286 ms  0/2593 (0%)  
[  6]   8.00-9.00   sec  3.57 MBytes  30.0 Mbits/sec  0.224 ms  0/2588 (0%)  
[  6]   9.00-10.00  sec  3.58 MBytes  30.0 Mbits/sec  0.245 ms  0/2590 (0%)  
[  6]  10.00-11.00  sec  3.58 MBytes  30.0 Mbits/sec  0.252 ms  0/2591 (0%)  
[  6]  11.00-12.00  sec  3.57 MBytes  30.0 Mbits/sec  0.346 ms  0/2587 (0%)  
[  6]  12.00-13.00  sec  3.58 MBytes  30.0 Mbits/sec  0.224 ms  0/2593 (0%)  
[  6]  13.00-14.00  sec  3.58 MBytes  30.0 Mbits/sec  0.265 ms  0/2589 (0%)  
[  6]  14.00-15.00  sec  3.57 MBytes  30.0 Mbits/sec  0.324 ms  0/2588 (0%)  
[  6]  15.00-16.00  sec  3.58 MBytes  30.0 Mbits/sec  0.310 ms  0/2591 (0%)  
[  6]  16.00-17.00  sec  3.58 MBytes  30.0 Mbits/sec  0.339 ms  0/2591 (0%)  
[  6]  17.00-18.00  sec  3.57 MBytes  30.0 Mbits/sec  0.296 ms  0/2588 (0%)  
[  6]  18.00-19.00  sec  3.58 MBytes  30.0 Mbits/sec  0.264 ms  0/2590 (0%)  
[  6]  19.00-20.00  sec  3.58 MBytes  30.0 Mbits/sec  0.310 ms  0/2590 (0%)  
[  6]  20.00-21.00  sec  3.58 MBytes  30.0 Mbits/sec  0.301 ms  0/2591 (0%)  
[  6]  21.00-22.00  sec  3.58 MBytes  30.0 Mbits/sec  0.254 ms  0/2590 (0%)  
[  6]  22.00-23.00  sec  3.57 MBytes  30.0 Mbits/sec  0.275 ms  0/2588 (0%)  
[  6]  23.00-24.00  sec  3.58 MBytes  30.0 Mbits/sec  0.236 ms  0/2590 (0%)  
[  6]  24.00-25.00  sec  3.58 MBytes  30.0 Mbits/sec  0.286 ms  0/2591 (0%)  
[  6]  25.00-26.00  sec  3.58 MBytes  30.0 Mbits/sec  0.253 ms  0/2590 (0%)  
[  6]  26.00-27.00  sec  3.58 MBytes  30.0 Mbits/sec  0.285 ms  0/2589 (0%)  
[  6]  27.00-28.00  sec  3.57 MBytes  30.0 Mbits/sec  0.296 ms  0/2588 (0%)  
[  6]  28.00-29.00  sec  3.58 MBytes  30.0 Mbits/sec  0.337 ms  0/2591 (0%)  
[  6]  29.00-30.00  sec  3.58 MBytes  30.0 Mbits/sec  0.284 ms  0/2591 (0%)  
[  6]  30.00-31.00  sec  3.58 MBytes  30.0 Mbits/sec  0.281 ms  0/2590 (0%)  
[  6]  31.00-32.00  sec  3.58 MBytes  30.0 Mbits/sec  0.278 ms  0/2589 (0%)  
[  6]  32.00-33.00  sec  3.58 MBytes  30.0 Mbits/sec  0.275 ms  0/2589 (0%)  
[  6]  33.00-34.00  sec  3.58 MBytes  30.0 Mbits/sec  0.276 ms  0/2591 (0%)  
[  6]  34.00-35.00  sec  3.57 MBytes  30.0 Mbits/sec  0.295 ms  0/2587 (0%)  
[  6]  35.00-36.00  sec  3.58 MBytes  30.0 Mbits/sec  0.345 ms  0/2592 (0%)  
[  6]  36.00-37.00  sec  3.58 MBytes  30.0 Mbits/sec  0.239 ms  0/2589 (0%)  
[  6]  37.00-38.00  sec  3.58 MBytes  30.0 Mbits/sec  0.256 ms  0/2591 (0%)  
[  6]  38.00-39.00  sec  3.58 MBytes  30.0 Mbits/sec  0.241 ms  0/2589 (0%)  
[  6]  39.00-40.00  sec  3.58 MBytes  30.0 Mbits/sec  0.350 ms  0/2590 (0%)  
[  6]  40.00-41.00  sec  3.58 MBytes  30.0 Mbits/sec  0.270 ms  0/2590 (0%)  
[  6]  41.00-42.00  sec  3.58 MBytes  30.0 Mbits/sec  0.271 ms  0/2589 (0%)  
[  6]  42.00-43.00  sec  3.58 MBytes  30.0 Mbits/sec  0.220 ms  0/2591 (0%)  
[  6]  43.00-44.00  sec  3.57 MBytes  30.0 Mbits/sec  0.261 ms  0/2588 (0%)  
[  6]  44.00-45.00  sec  3.58 MBytes  30.0 Mbits/sec  0.299 ms  0/2591 (0%)  
[  6]  45.00-46.00  sec  3.58 MBytes  30.0 Mbits/sec  0.294 ms  0/2589 (0%)  
[  6]  46.00-47.00  sec  3.58 MBytes  30.0 Mbits/sec  0.329 ms  0/2591 (0%)  
[  6]  47.00-48.00  sec  3.58 MBytes  30.0 Mbits/sec  0.321 ms  0/2590 (0%)  
[  6]  48.00-49.00  sec  3.58 MBytes  30.0 Mbits/sec  0.297 ms  0/2590 (0%)  
[  6]  49.00-50.00  sec  3.58 MBytes  30.0 Mbits/sec  0.290 ms  0/2589 (0%)  
[  6]  50.00-51.00  sec  3.58 MBytes  30.0 Mbits/sec  0.273 ms  0/2590 (0%)  
[  6]  51.00-52.00  sec  3.57 MBytes  30.0 Mbits/sec  0.295 ms  0/2587 (0%)  
[  6]  52.00-53.00  sec  3.58 MBytes  30.0 Mbits/sec  0.283 ms  0/2593 (0%)  
[  6]  53.00-54.00  sec  3.58 MBytes  30.0 Mbits/sec  0.309 ms  0/2589 (0%)  
[  6]  54.00-55.00  sec  3.58 MBytes  30.0 Mbits/sec  0.251 ms  0/2590 (0%)  
