-----------------------------------------------------------
Server listening on 5002
-----------------------------------------------------------
Accepted connection from 10.0.1.1, port 46868
[  6] local 10.0.1.7 port 5002 connected to 10.0.1.1 port 10002
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-1.00   sec  5.99 MBytes  50.2 Mbits/sec  0.312 ms  615/4950 (12%)  
[  6]   1.00-2.00   sec  6.25 MBytes  52.5 Mbits/sec  0.288 ms  648/5176 (13%)  
[  6]   2.00-3.00   sec  6.26 MBytes  52.5 Mbits/sec  0.322 ms  651/5184 (13%)  
[  6]   3.00-4.00   sec  6.25 MBytes  52.5 Mbits/sec  0.344 ms  649/5178 (13%)  
[  6]   4.00-5.00   sec  6.26 MBytes  52.5 Mbits/sec  0.309 ms  648/5178 (13%)  
[  6]   5.00-6.00   sec  6.26 MBytes  52.5 Mbits/sec  0.362 ms  650/5180 (13%)  
[  6]   6.00-7.00   sec  6.26 MBytes  52.5 Mbits/sec  0.400 ms  649/5180 (13%)  
[  6]   7.00-8.00   sec  6.25 MBytes  52.4 Mbits/sec  0.341 ms  650/5177 (13%)  
[  6]   8.00-9.00   sec  6.26 MBytes  52.5 Mbits/sec  0.329 ms  649/5182 (13%)  
[  6]   9.00-10.00  sec  6.26 MBytes  52.5 Mbits/sec  0.337 ms  650/5181 (13%)  
[  6]  10.00-11.00  sec  6.25 MBytes  52.5 Mbits/sec  0.331 ms  650/5179 (13%)  
[  6]  11.00-12.00  sec  6.26 MBytes  52.5 Mbits/sec  0.365 ms  648/5179 (13%)  
[  6]  12.00-13.00  sec  6.26 MBytes  52.5 Mbits/sec  0.365 ms  648/5179 (13%)  
[  6]  13.00-14.00  sec  6.25 MBytes  52.5 Mbits/sec  0.367 ms  651/5180 (13%)  
[  6]  14.00-15.00  sec  6.26 MBytes  52.5 Mbits/sec  0.346 ms  648/5179 (13%)  
[  6]  15.00-16.00  sec  6.26 MBytes  52.5 Mbits/sec  0.283 ms  650/5181 (13%)  
[  6]  16.00-17.00  sec  6.26 MBytes  52.5 Mbits/sec  0.331 ms  650/5180 (13%)  
[  6]  17.00-18.00  sec  6.26 MBytes  52.5 Mbits/sec  0.342 ms  649/5179 (13%)  
[  6]  18.00-19.00  sec  6.26 MBytes  52.5 Mbits/sec  0.274 ms  650/5180 (13%)  
[  6]  19.00-20.00  sec  6.26 MBytes  52.5 Mbits/sec  0.376 ms  649/5179 (13%)  
[  6]  20.00-21.00  sec  6.26 MBytes  52.5 Mbits/sec  0.357 ms  649/5180 (13%)  
[  6]  21.00-22.00  sec  6.26 MBytes  52.5 Mbits/sec  0.367 ms  648/5178 (13%)  
[  6]  22.00-23.00  sec  6.26 MBytes  52.5 Mbits/sec  0.309 ms  650/5180 (13%)  
[  6]  23.00-24.00  sec  6.25 MBytes  52.5 Mbits/sec  0.356 ms  649/5178 (13%)  
[  6]  24.00-25.00  sec  6.26 MBytes  52.5 Mbits/sec  0.232 ms  650/5181 (13%)  
[  6]  25.00-26.00  sec  6.26 MBytes  52.5 Mbits/sec  0.365 ms  650/5181 (13%)  
[  6]  26.00-27.00  sec  6.25 MBytes  52.5 Mbits/sec  0.331 ms  648/5177 (13%)  
[  6]  27.00-28.00  sec  6.26 MBytes  52.5 Mbits/sec  0.405 ms  650/5181 (13%)  
[  6]  28.00-29.00  sec  6.26 MBytes  52.5 Mbits/sec  0.374 ms  649/5179 (13%)  
[  6]  29.00-30.00  sec  6.26 MBytes  52.5 Mbits/sec  0.310 ms  650/5181 (13%)  
[  6]  30.00-31.00  sec  6.25 MBytes  52.5 Mbits/sec  0.313 ms  648/5177 (13%)  
[  6]  31.00-32.00  sec  6.26 MBytes  52.5 Mbits/sec  0.318 ms  649/5179 (13%)  
[  6]  32.00-33.00  sec  6.26 MBytes  52.5 Mbits/sec  0.331 ms  650/5182 (13%)  
[  6]  33.00-34.00  sec  6.25 MBytes  52.5 Mbits/sec  0.320 ms  649/5178 (13%)  
[  6]  34.00-35.00  sec  6.26 MBytes  52.5 Mbits/sec  0.331 ms  650/5182 (13%)  
[  6]  35.00-36.00  sec  6.26 MBytes  52.5 Mbits/sec  0.300 ms  650/5180 (13%)  
[  6]  36.00-37.00  sec  6.25 MBytes  52.5 Mbits/sec  0.357 ms  649/5178 (13%)  
[  6]  37.00-38.00  sec  6.26 MBytes  52.5 Mbits/sec  0.302 ms  649/5180 (13%)  
[  6]  38.00-39.00  sec  6.26 MBytes  52.5 Mbits/sec  0.399 ms  650/5180 (13%)  
[  6]  39.00-40.00  sec  6.26 MBytes  52.5 Mbits/sec  0.381 ms  648/5178 (13%)  
[  6]  40.00-41.00  sec  6.26 MBytes  52.5 Mbits/sec  0.312 ms  649/5180 (13%)  
[  6]  41.00-42.00  sec  6.25 MBytes  52.5 Mbits/sec  0.306 ms  649/5178 (13%)  
[  6]  42.00-43.00  sec  6.26 MBytes  52.5 Mbits/sec  0.358 ms  650/5181 (13%)  
[  6]  43.00-44.00  sec  6.26 MBytes  52.5 Mbits/sec  0.349 ms  650/5180 (13%)  
[  6]  44.00-45.00  sec  6.26 MBytes  52.5 Mbits/sec  0.344 ms  649/5179 (13%)  
[  6]  45.00-46.00  sec  6.26 MBytes  52.5 Mbits/sec  0.304 ms  650/5181 (13%)  
[  6]  46.00-47.00  sec  6.25 MBytes  52.5 Mbits/sec  0.328 ms  649/5178 (13%)  
[  6]  47.00-48.00  sec  6.26 MBytes  52.5 Mbits/sec  0.374 ms  649/5180 (13%)  
[  6]  48.00-49.00  sec  6.26 MBytes  52.5 Mbits/sec  0.308 ms  650/5181 (13%)  
[  6]  49.00-50.00  sec  6.26 MBytes  52.5 Mbits/sec  0.312 ms  648/5178 (13%)  
[  6]  50.00-51.00  sec  6.26 MBytes  52.5 Mbits/sec  0.366 ms  650/5180 (13%)  
[  6]  51.00-52.00  sec  6.26 MBytes  52.5 Mbits/sec  0.303 ms  649/5180 (13%)  
[  6]  52.00-53.00  sec  6.26 MBytes  52.5 Mbits/sec  0.341 ms  649/5179 (13%)  
[  6]  53.00-54.00  sec  6.25 MBytes  52.4 Mbits/sec  0.368 ms  649/5174 (13%)  
[  6]  54.00-55.00  sec  6.26 MBytes  52.5 Mbits/sec  0.337 ms  650/5185 (13%)  
[  6]  55.00-56.00  sec  6.26 MBytes  52.5 Mbits/sec  0.320 ms  650/5180 (13%)  
[  6]  56.00-57.00  sec  6.26 MBytes  52.5 Mbits/sec  0.414 ms  649/5179 (13%)  
[  6]  57.00-58.00  sec  6.26 MBytes  52.5 Mbits/sec  0.268 ms  649/5179 (13%)  
[  6]  58.00-59.00  sec  6.26 MBytes  52.5 Mbits/sec  0.272 ms  648/5178 (13%)  
