ID,Difference
0x0000000000000a6a,
0x0000000000000a6b,
0x0000000000000a6c,
0x0000000000000a6d,
0x0000000000000a6e,
0x0000000000000a6f,
0x0000000000000a70,
0x0000000000000a71,
0x0000000000000a72,
0x0000000000000a73,
0x0000000000000a74,
0x0000000000000a75,
0x0000000000000a76,
0x0000000000000a77,
0x0000000000000a78,
0x0000000000000a79,
0x0000000000000a7a,
0x0000000000000a7b,
0x0000000000000a7c,
0x0000000000000a7d,
0x0000000000000a7e,
0x0000000000000a7f,
0x0000000000000a80,
0x0000000000000a81,
0x0000000000000a82,
0x0000000000000a83,
0x0000000000000a84,
0x0000000000000a85,
0x0000000000000a86,
0x0000000000000a87,
0x0000000000000a88,
0x0000000000000a89,0.381952
0x0000000000000a8a,0.36224
0x0000000000000a8b,0.383232
0x0000000000000a8c,0.382208
0x0000000000000a8d,0.384
0x0000000000000a8e,0.366592
0x0000000000000a8f,0.382976
0x0000000000000a90,0.387584
0x0000000000000a91,0.365568
0x0000000000000a92,0.382464
0x0000000000000a93,0.383744
0x0000000000000a94,0.361472
0x0000000000000a95,0.361984
0x0000000000000a96,0.366336
0x0000000000000a97,0.38528
0x0000000000000a98,0.366592
0x0000000000000a99,0.383744
0x0000000000000a9a,0.3776
0x0000000000000a9b,0.382976
0x0000000000000a9c,0.360448
0x0000000000000a9d,0.36352
0x0000000000000a9e,0.38528
0x0000000000000a9f,0.365568
0x0000000000000aa0,0.376832
0x0000000000000aa1,0.385536
0x0000000000000aa2,0.384
0x0000000000000aa3,0.36608
0x0000000000000aa4,0.378112
0x0000000000000aa5,0.363264
0x0000000000000aa6,0.362496
0x0000000000000aa7,0.367104
0x0000000000000aa8,0.386048
0x0000000000000aa9,0.385792
0x0000000000000aaa,0.364032
0x0000000000000aab,0.38272
0x0000000000000aac,0.383744
0x0000000000000aad,0.365312
0x0000000000000aae,0.376832
0x0000000000000aaf,0.383744
0x0000000000000ab0,0.36864
0x0000000000000ab1,0.376064
0x0000000000000ab2,0.381696
0x0000000000000ab3,0.383744
0x0000000000000ab4,0.36352
0x0000000000000ab5,0.370944
0x0000000000000ab6,0.363776
0x0000000000000ab7,0.360704
0x0000000000000ab8,0.690432
0x0000000000000ab9,0.376064
0x0000000000000aba,0.376576
0x0000000000000abb,0.371712
0x0000000000000abc,0.374272
0x0000000000000abd,0.382208
0x0000000000000abe,0.792832
0x0000000000000abf,0.680192
0x0000000000000ac0,0.680704
0x0000000000000ac1,0.382976
0x0000000000000ac2,0.365824
0x0000000000000ac3,0.374784
0x0000000000000ac4,0.381184
0x0000000000000ac5,0.358912
0x0000000000000ac6,0.381696
0x0000000000000ac7,0.370944
0x0000000000000ac8,0.361984
0x0000000000000ac9,1.364736
0x0000000000000aca,0.798208
0x0000000000000acb,0.663296
0x0000000000000acc,0.363776
0x0000000000000acd,0.379904
0x0000000000000ace,0.38144
0x0000000000000acf,0.363264
0x0000000000000ad0,0.381952
0x0000000000000ad1,0.381184
0x0000000000000ad2,0.38144
0x0000000000000ad3,0.363008
0x0000000000000ad4,0.381184
0x0000000000000ad5,0.372736
0x0000000000000ad6,0.360448
0x0000000000000ad7,0.362496
0x0000000000000ad8,0.375552
0x0000000000000ad9,0.360448
0x0000000000000ada,0.36096
0x0000000000000adb,0.380672
0x0000000000000adc,0.371968
0x0000000000000add,0.36224
0x0000000000000ade,0.379904
0x0000000000000adf,0.372736
0x0000000000000ae0,0.381952
0x0000000000000ae1,0.361728
0x0000000000000ae2,0.373248
0x0000000000000ae3,0.38144
0x0000000000000ae4,0.364544
0x0000000000000ae5,0.380928
0x0000000000000ae6,0.381184
0x0000000000000ae7,0.37376
0x0000000000000ae8,0.363008
0x0000000000000ae9,0.380928
0x0000000000000aea,0.361472
0x0000000000000aeb,0.358912
0x0000000000000aec,0.374272
0x0000000000000aed,0.379904
0x0000000000000aee,0.374016
0x0000000000000aef,0.365056
0x0000000000000af0,0.382976
0x0000000000000af1,0.37376
0x0000000000000af2,0.3584
0x0000000000000af3,0.379648
0x0000000000000af4,0.358144
0x0000000000000af5,0.657408
0x0000000000000af6,0.381952
0x0000000000000af7,0.380416
0x0000000000000af8,0.374016
0x0000000000000af9,0.361728
0x0000000000000afa,0.382976
0x0000000000000afb,0.380672
0x0000000000000afc,0.656384
0x0000000000000afd,0.358144
0x0000000000000afe,0.372992
0x0000000000000aff,0.373504
0x0000000000000b00,0.36608
0x0000000000000b01,0.380416
0x0000000000000b02,0.37632
0x0000000000000b03,0.362752
0x0000000000000b04,0.380672
0x0000000000000b05,0.380928
0x0000000000000b06,0.373248
0x0000000000000b07,0.364288
0x0000000000000b08,0.375552
0x0000000000000b09,0.382464
0x0000000000000b0a,0.365568
0x0000000000000b0b,0.38016
0x0000000000000b0c,0.380928
0x0000000000000b0d,0.361216
0x0000000000000b0e,0.359168
0x0000000000000b0f,0.36352
0x0000000000000b10,0.383744
0x0000000000000b11,0.361728
0x0000000000000b12,0.380672
0x0000000000000b13,0.380416
0x0000000000000b14,0.380672
0x0000000000000b15,0.35712
0x0000000000000b16,1.49504
0x0000000000000b17,0.9216
0x0000000000000b18,0.658944
0x0000000000000b19,0.38144
0x0000000000000b1a,0.382464
0x0000000000000b1b,0.359168
0x0000000000000b1c,0.373504
0x0000000000000b1d,0.366848
0x0000000000000b1e,0.666112
0x0000000000000b1f,0.359168
0x0000000000000b20,0.36352
0x0000000000000b21,0.382464
0x0000000000000b22,0.785152
0x0000000000000b23,0.68352
0x0000000000000b24,0.673536
0x0000000000000b25,0.380672
0x0000000000000b26,0.37376
0x0000000000000b27,0.383232
0x0000000000000b28,0.383232
0x0000000000000b29,0.37376
0x0000000000000b2a,0.381184
0x0000000000000b2b,0.38016
0x0000000000000b2c,0.379136
0x0000000000000b2d,0.372224
0x0000000000000b2e,0.380928
0x0000000000000b2f,0.359424
